latitude,longitude,name,desc,color,source,precision
42.304358,-73.247227,"25 Park St, Lee, MA 01238","25 Park St, Lee, Berkshire, MA, US",,MapQuest,address
42.518884,-71.758409,"188 Central St, Leominster, MA 01453","188 Central St, Leominster, Worcester, MA, US",,MapQuest,address
42.542485,-71.761121,"9 Nelson St, Leominster, MA 01453","9 Nelson St, Leominster, Worcester, MA, US",,MapQuest,address
42.525586,-71.753444,"927 Merriam Avenue, Twin City Plaza, Leominster, MA 01453","Leominster, Worcester County, MA, US",,MapQuest,postcode
42.541193,-71.763033,"60 Hospital Road, Leominster, MA 01453","60 Hospital Rd, Leominster, Worcester, MA, US",,MapQuest,address
42.055686,-72.554736,"802 Williams Street, Longmeadow, MA 01106","802 Williams St, Longmeadow, Hampden, MA, US",,MapQuest,address
42.641609,-71.374108,"1001 Pawtucket Blvd, Lowell, MA 01854","1001 Pawtucket Blvd, Lowell, Middlesex, MA, US",,MapQuest,address
42.649568,-71.304038,"336 Bridge St., Lowell, MA 01850","336 Bridge St, Lowell, Middlesex, MA, US",,MapQuest,address
42.575545,-71.748218,"454 Electric Ave, Lunenburg, MA 01462","454 Electric Ave, Lunenburg, Worcester, MA, US",,MapQuest,address
42.476868,-70.95729,"65 Boston St, Lynn, MA 01904","65 Boston St, Lynn, Essex, MA, US",,MapQuest,address
42.462413,-70.962948,"200 South Common St., Lynn, MA 01905","200 S Common St, Lynn, Essex, MA, US",,MapQuest,address
42.460469,-70.954896,"80 Neptune Blvd., Lynn, MA 01902","80 Neptune Blvd, Lynn, Essex, MA, US",,MapQuest,address
42.470332,-70.957735,"35 Washington Street, Lynn, MA 01904","35 Washington St, Lynn, Essex, MA, US",,MapQuest,address
42.4405,-71.03176,"575 Broadway, Malden, MA 02148","575 Broadway, Malden, Middlesex, MA, US",,MapQuest,address
42.430424,-71.038893,"1080 Eastern Ave., Malden, MA 02148","1080 Eastern Ave, Malden, Middlesex, MA, US",,MapQuest,address
42.342743,-71.578399,"75 Felton Street, Marlborough, MA 01752","75 Felton St, Marlborough, Middlesex, MA, US",,MapQuest,address
42.351201,-71.534409,"264 East Main Street, Marlborough, MA 01752","264 E Main St, Marlborough, Middlesex, MA, US",,MapQuest,address
42.098938,-70.718031,"140 Main St, Marshfield, MA 02050","140 Main St, Marshfield, Plymouth, MA, US",,MapQuest,address
41.461394,-70.581962,"1 Hospital Rd, Oak Bluffs, MA 02557","1 Hospital Rd, Vineyard Haven, Dukes, MA, US",,MapQuest,address
41.612804,-70.489057,"21 South St., Mashpee, MA 02649","21 South St, Mashpee, Barnstable, MA, US",,MapQuest,address
42.269989,-71.093791,"1575 Blue Hill Ave, Mattapan, MA 02126","1575 Blue Hill Ave, Mattapan, Suffolk, MA, US",,MapQuest,address
42.281708,-71.092383,"1257 Blue Hill Ave, Mattapan, MA 02126","1257 Blue Hill Ave, Mattapan, Suffolk, MA, US",,MapQuest,address
42.27129,-71.074323,"90 River St, Mattapan, MA 02126","90 River St, Mattapan, Suffolk, MA, US",,MapQuest,address
42.431932,-71.454381,"105 Main St., Maynard, MA 01754","105 Main St, Maynard, Middlesex, MA, US",,MapQuest,address
42.185596,-71.308766,"555 Main Street, Medfield, MA 02052","555 Main St, Medfield, Norfolk, MA, US",,MapQuest,address
